file_name,release_date,sentiment_score_blob,sentiment_score_vader,sentiment_score_lm
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,"July 15, 2015",0.11569056569996414,0.123,23
Q416ShareholderLetter,"January 18, 2017",0.1041904069555584,0.079,20
FINAL-Q2-18-Shareholder-Letter,"July 16, 2018",0.10853646239916727,0.068,13
July2014EarningsLetter_7.21.14_final,"July 21, 2014",0.1139970173675531,0.091,25
Investor-Letter-Q1-2012,"April 23, 2012",0.09272970686516942,0.10500000000000001,70
FINAL-Q2-23-Shareholder-Letter,"July 19, 2023",-0.02916666666666667,0.012000000000000004,-2
Q114-Earnings-Letter-4.21.14-final,"April 21, 2014",0.12197598649169329,0.1,40
FINAL_Q3_Letter,"October 17, 2016",0.11246850902105682,0.10300000000000001,23
Q213-Investor-Letter,"July 22, 2013",0.13236969961740605,0.124,31
Q2_17_Shareholder_Letter,"July 17, 2017",0.1288017657372496,0.125,18
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,"October 14, 2015",0.10018545906446256,0.088,16
Q4_14_Letter_to_shareholders,"January 20, 2015",0.13964178077814435,0.099,47
FINAL-Q2-21-Shareholder-Letter,"July 20, 2021",0.08867682455856732,0.07999999999999999,27
Q3_17_Shareholder_Letter_COMBINED,"October 16, 2017",0.11605959061514612,0.11199999999999999,31
FINAL-Q2-22-Shareholder-Letter,"July 19, 2022",0.08833811537299907,0.097,30
Investor_Letter_Q12013,"April 22, 2013",0.11345140494969257,0.099,25
Q3_14_Letter_to_shareholders,"October 15, 2014",0.1328545540527406,0.10999999999999999,36
COMBINED-Q4-17-Shareholder-Letter-FINAL,"January 22, 2018",0.1501449836712994,0.086,15
Q1-11-Letter-to-shareholders,"April 25, 2011",0.07391307139188494,0.08299999999999999,14
FINAL-Q1-20-Shareholder-Letter,"April 21, 2020",0.09547088592159021,0.08,1
FINAL-Q4-21-Shareholder-Letter,"January 20, 2022",0.07749516385385946,0.07200000000000001,20
FINAL-Q3-19-Shareholder-Letter,"October 16, 2019",0.12338568113568114,0.096,30
FINAL-Q3-22-Shareholder-Letter,"October 18, 2022",0.12000746753246756,0.10999999999999999,28
Final-Q1-23-Shareholder-Letter,"April 18, 2023",-0.02951977401129944,0.007999999999999993,-2
FINAL-Q4-22-Shareholder-Letter,"January 19, 2023",0.1311777151113492,0.128,51
FINAL-Q1-18-Shareholder-Letter,"April 16, 2018",0.11444490773889908,0.063,4
Q216LettertoShareholders_FINAL_w_Tables,"July 18, 2016",0.1094486694048689,0.098,26
FINAL-Q4-19-Shareholder-Letter,"January 21, 2020",0.09705326724557498,0.064,26
FINAL-Q3-21-Shareholder-Letter,"October 19, 2021",0.1262708882027064,0.10699999999999998,36
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,"July 16, 2020",0.10402598463627874,0.060000000000000005,13
Investor-Letter-Q3-2011,October Â 2,0.09124974012296283,0.05299999999999999,16
Q2-19-Shareholder-Letter-FINAL,"July 17, 2019",0.1261662619872952,0.082,13
Q4-13-Letter-to-shareholders,"January 22, 2014",0.1138437629726413,0.08499999999999999,36
Q1_15_Earnings_Letter_final_tables,"April 15, 2015",0.08946233448591936,0.091,23
FINAL-Q4-18-Shareholder-Letter,"January 17, 2019",0.1557563665007485,0.08800000000000001,22
FINAL-Q3-20-Shareholder-Letter,"October 20, 2020",0.10665199461525342,0.095,27
FINAL-Q1-19-Shareholder-Letter,"April 16, 2019",0.1412239183818131,0.072,29
July-Investor-Letter-1130am,"July 25, 2011",0.12083652919233825,0.101,37
Investor-Letter-Q4-2011,"January 25, 2012",0.11961779153489001,0.12,37
Q4_15_Letter_to_Shareholders_-_COMBINED,"January 19, 2016",0.10363114544307207,0.10800000000000001,20
FINAL-Q1-22-Shareholder-Letter,"April 19, 2022",0.10718379649024808,0.113,22
Q117ShareholderLetterV2FINAL,"April 17, 2017",0.08862472943722935,0.11499999999999999,22
FINAL-Q3-18-Shareholder-Letter,"October 16, 2018",0.11239680399638027,0.08600000000000001,14
FINAL-Q1-21-Shareholder-Letter,"April 20, 2021",0.10110612049347224,0.098,12
Q116LettertoShareholders_W_TABLES_,"April 18, 2016",0.12222162242041758,0.118,38
FINAL-Q420-Shareholder-Letter,"January 19, 2021",0.12368413572959028,0.089,18
